text,label
"FREE entry in 2 a wkly comp to win FA Cup final tkts! Text FA to 87121 to receive entry question",spam
"WINNER!! As a valued network customer you have been selected to receivea 900 prize reward",spam
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free",spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt CSH11 and send to 87575",spam
"URGENT! You have won a 1 week FREE membership in our dollar prize draw!",spam
"Congratulations ur awarded 500 of bonus points. To claim call our customer service 09061743806",spam
"Win a 1000 cash prize or a prize worth 5000 every week. To claim call 09050000327",spam
"You are our winner of a 250 Shopping spree. Call 09061701461 to claim. Valid until 31/3",spam
"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed 1000 cash",spam
"Free entry to our weekly prize draw. Text WIN to 80800 now",spam
"Claim your 200 shopping voucher. Reply VOUCHER to this number now",spam
"Your mobile number has won the lottery! Call 09061000012 to claim your prize",spam
"ALERT: You have been chosen for a special offer. Limited time only. Reply YES.",spam
"Loan approved! Get 5000 cash deposited to your account. No credit check. Call now.",spam
"Double your money guaranteed. Invest 100 get 200 back. Reply INVEST now.",spam
"Nah I don't think he goes to usf he lives around here though",ham
"Even my brother is not like to speak with me. They treat me like aids patent.",ham
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight",ham
"I've been searching for the right word and finally it has come to me - awesome.",ham
"So you are finished with all the boxing and like to go for a swim?",ham
"I HAVE A DATE ON SUNDAY WITH WILL!",ham
"As per your request Melle Melle Oru Minnaminunginte Nakshathra Viswam to be a new way of talking",ham
"Work is probably the last thing on my mind right now but let me know when you are free.",ham
"Done. I'll be seeing you at home on Wednesday.",ham
"Hey, are you joining us for lunch today?",ham
"The meeting has been rescheduled to Thursday at 3pm.",ham
"Can you pick up the kids from school today? I'm running late.",ham
"Just landed at the airport, heading to baggage claim.",ham
"Happy birthday! Hope you have a great day.",ham
"Don't forget to bring the documents to the office tomorrow.",ham
